"DRD350A.Code.or.Value","DRD350A.Value.Description","DRD350A.Count","DRD350A.Cumulative","DRD350A.Skip.to.Item"
"1","Yes",365,365,""
"2","No",3334,3699,"DRD350B"
".","Missing",5845,9544,""
