"DR2IP205.Code.or.Value","DR2IP205.Value.Description","DR2IP205.Count","DR2IP205.Cumulative","DR2IP205.Skip.to.Item"
"0 to 4.263","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
