"BAQ080D.Code.or.Value","BAQ080D.Value.Description","BAQ080D.Count","BAQ080D.Cumulative","BAQ080D.Skip.to.Item"
"1","Yes",46,46,NA
"2","No",366,412,NA
"7","Refused",0,412,NA
"9","Don't know",3,415,NA
".","Missing",2770,3185,NA
