"DS1TPHOS.Code.or.Value","DS1TPHOS.Value.Description","DS1TPHOS.Count","DS1TPHOS.Cumulative","DS1TPHOS.Skip.to.Item"
"10 to 1200","Range of Values",512,512,NA
".","Missing",9032,9544,NA
