"URXUMMA.Code.or.Value","URXUMMA.Value.Description","URXUMMA.Count","URXUMMA.Cumulative","URXUMMA.Skip.to.Item"
"0.64 to 29.4","Range of Values",2588,2588,NA
".","Missing",104,2692,NA
