"ARQ135D.Code.or.Value","ARQ135D.Value.Description","ARQ135D.Count","ARQ135D.Cumulative","ARQ135D.Skip.to.Item"
"1","Yes",10,10,NA
"2","No",1,11,NA
"7","Refused",0,11,NA
"9","Don't know",0,11,NA
".","Missing",5095,5106,NA
