"DS2TCAFF.Code.or.Value","DS2TCAFF.Value.Description","DS2TCAFF.Count","DS2TCAFF.Cumulative","DS2TCAFF.Skip.to.Item"
"2 to 200","Range of Values",10,10,NA
".","Missing",9803,9813,NA
