"OPDSOTHC.Code.or.Value","OPDSOTHC.Value.Description","OPDSOTHC.Count","OPDSOTHC.Cumulative","OPDSOTHC.Skip.to.Item"
"0","No",2370,2370,NA
"1","Questionable",6,2376,NA
"2","Yes",73,2449,NA
"3","Yes, in center",0,2449,NA
".","Missing",485,2934,NA
