"WHQ270.Code.or.Value","WHQ270.Value.Description","WHQ270.Count","WHQ270.Cumulative","WHQ270.Skip.to.Item"
"1","Yes",252,252,""
"2","No",2331,2583,"WHQ185"
"7","Refused",0,2583,"WHQ185"
"9","Don't know",0,2583,"WHQ185"
".","Missing",3963,6546,""
