"ORXH56.Code.or.Value","ORXH56.Value.Description","ORXH56.Count","ORXH56.Cumulative","ORXH56.Skip.to.Item"
"1","Positive",15,15,NA
"2","Negative",4832,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
