"LBXGLU.Code.or.Value","LBXGLU.Value.Description","LBXGLU.Count","LBXGLU.Cumulative","LBXGLU.Skip.to.Item"
"56.7 to 587.3","Range of Values",3035,3035,NA
".","Missing",232,3267,NA
