"DIQ350U.Code.or.Value","DIQ350U.Value.Description","DIQ350U.Count","DIQ350U.Cumulative","DIQ350U.Skip.to.Item"
"1","Per day",390,390,NA
"2","Per week",140,530,NA
"3","Per month",43,573,NA
"4","Per year",10,583,NA
"7","Refused",0,583,NA
"9","Don't know",0,583,NA
".","Missing",9083,9666,NA
