"OPDUSUBH.Code.or.Value","OPDUSUBH.Value.Description","OPDUSUBH.Count","OPDUSUBH.Cumulative","OPDUSUBH.Skip.to.Item"
"0","No",2421,2421,NA
"1","Yes",3,2424,NA
".","Missing",510,2934,NA
