"DR2TP205.Code.or.Value","DR2TP205.Value.Description","DR2TP205.Count","DR2TP205.Cumulative","DR2TP205.Skip.to.Item"
"0 to 4.263","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
