"WHQ510G.Code.or.Value","WHQ510G.Value.Description","WHQ510G.Count","WHQ510G.Cumulative","WHQ510G.Skip.to.Item"
"16","I think girls will like me better",12,12,NA
".","Missing",1415,1427,NA
