"DS1IPOTA.Code.or.Value","DS1IPOTA.Value.Description","DS1IPOTA.Count","DS1IPOTA.Cumulative","DS1IPOTA.Skip.to.Item"
"0.04 to 3900","Range of Values",736,736,NA
".","Missing",5222,5958,NA
