"CIQP13F.Code.or.Value","CIQP13F.Value.Description","CIQP13F.Count","CIQP13F.Cumulative","CIQP13F.Skip.to.Item"
"1","Yes",28,28,NA
"2","No",90,118,NA
"7","Refused",0,118,NA
"9","Don't know",0,118,NA
".","Missing",810,928,NA
