"URDUA3LC.Code.or.Value","URDUA3LC.Value.Description","URDUA3LC.Count","URDUA3LC.Cumulative","URDUA3LC.Skip.to.Item"
"0","At or above the detection limit",668,668,NA
"1","Below lower detection limit",1609,2277,NA
".","Missing",72,2349,NA
