"DR1TTFAT.Code.or.Value","DR1TTFAT.Value.Description","DR1TTFAT.Count","DR1TTFAT.Cumulative","DR1TTFAT.Skip.to.Item"
"0.29 to 507.32","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
