"DR2TVC.Code.or.Value","DR2TVC.Value.Description","DR2TVC.Count","DR2TVC.Cumulative","DR2TVC.Skip.to.Item"
"0 to 1624.2","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
