"DR2TS060.Code.or.Value","DR2TS060.Value.Description","DR2TS060.Count","DR2TS060.Cumulative","DR2TS060.Skip.to.Item"
"0 to 3.434","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
