"WBXP092.Code.or.Value","WBXP092.Value.Description","WBXP092.Count","WBXP092.Cumulative","WBXP092.Skip.to.Item"
"-175.1892 to 157.8945","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
