"LBCF09.Code.or.Value","LBCF09.Value.Description","LBCF09.Count","LBCF09.Cumulative","LBCF09.Skip.to.Item"
"0.502 to 6.17","Range of Values",246,246,NA
".","Missing",18,264,NA
