"PADDURAT.Code.or.Value","PADDURAT.Value.Description","PADDURAT.Count","PADDURAT.Cumulative","PADDURAT.Skip.to.Item"
"10 to 600","Range of Values",14206,14206,NA
".","Missing",6,14212,NA
