"DS1TIRON.Code.or.Value","DS1TIRON.Value.Description","DS1TIRON.Count","DS1TIRON.Cumulative","DS1TIRON.Skip.to.Item"
"0.08 to 202.5","Range of Values",654,654,NA
".","Missing",8050,8704,NA
