"PAQ690h.Code.or.Value","PAQ690h.Value.Description","PAQ690h.Count","PAQ690h.Cumulative","PAQ690h.Skip.to.Item"
"17","Canceled outdoors activities",87,87,NA
".","Missing",6802,6889,NA
