"DRD350B.Code.or.Value","DRD350B.Value.Description","DRD350B.Count","DRD350B.Cumulative","DRD350B.Skip.to.Item"
"1","Yes",785,785,""
"2","No",2976,3761,"DRD350C"
".","Missing",6052,9813,""
