"LBXPFOS.Code.or.Value","LBXPFOS.Value.Description","LBXPFOS.Count","LBXPFOS.Cumulative","LBXPFOS.Skip.to.Item"
"0.14 to 281","Range of Values",2233,2233,NA
".","Missing",199,2432,NA
