"PHQ020.Code.or.Value","PHQ020.Value.Description","PHQ020.Count","PHQ020.Cumulative","PHQ020.Skip.to.Item"
"1","Yes",123,123,NA
"2","No",9357,9480,NA
".","Missing",449,9929,NA
