"VIQ230.Code.or.Value","VIQ230.Value.Description","VIQ230.Count","VIQ230.Cumulative","VIQ230.Skip.to.Item"
"1","Yes",2413,2413,NA
"2","No",406,2819,NA
".","Missing",4171,6990,NA
