"BIXC1M.Code.or.Value","BIXC1M.Value.Description","BIXC1M.Count","BIXC1M.Cumulative","BIXC1M.Skip.to.Item"
"4.19 to 1177.51","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
