"LBXCRP.Code.or.Value","LBXCRP.Value.Description","LBXCRP.Count","LBXCRP.Cumulative","LBXCRP.Skip.to.Item"
"0.01 to 18.5","Range of Values",8410,8410,NA
".","Missing",852,9262,NA
