"DS2IVB12.Code.or.Value","DS2IVB12.Value.Description","DS2IVB12.Count","DS2IVB12.Cumulative","DS2IVB12.Skip.to.Item"
"0.01287 to 18000","Range of Values",2020,2020,NA
".","Missing",3628,5648,NA
