"DR1TVB6.Code.or.Value","DR1TVB6.Value.Description","DR1TVB6.Count","DR1TVB6.Cumulative","DR1TVB6.Skip.to.Item"
"0.008 to 38.543","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
