"URXBSM.Code.or.Value","URXBSM.Value.Description","URXBSM.Count","URXBSM.Cumulative","URXBSM.Skip.to.Item"
"0.0354 to 0.0354","Range of Values",2634,2634,NA
".","Missing",122,2756,NA
