"RFXT079.Code.or.Value","RFXT079.Value.Description","RFXT079.Count","RFXT079.Cumulative","RFXT079.Skip.to.Item"
"681 to 690","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
