"LBXF05.Code.or.Value","LBXF05.Value.Description","LBXF05.Count","LBXF05.Cumulative","LBXF05.Skip.to.Item"
"8.06 to 262.2","Range of Values",1898,1898,NA
".","Missing",376,2274,NA
