"DR2TS080.Code.or.Value","DR2TS080.Value.Description","DR2TS080.Count","DR2TS080.Cumulative","DR2TS080.Skip.to.Item"
"0 to 12.462","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
