"SSMUMPS.Code.or.Value","SSMUMPS.Value.Description","SSMUMPS.Count","SSMUMPS.Cumulative","SSMUMPS.Skip.to.Item"
"1","Positive",3770,3770,NA
"2","Negative",212,3982,NA
"3","Indeterminate",150,4132,NA
"9","Quantity not sufficient",0,4132,NA
".","Missing",7,4139,NA
