"SXQ410.Code.or.Value","SXQ410.Value.Description","SXQ410.Count","SXQ410.Cumulative","SXQ410.Skip.to.Item"
"0 to 75","Range of Values",100,100,NA
"100","100 or more",12,112,NA
"77777","Refused",0,112,NA
"99999","Don't know",0,112,NA
".","Missing",4731,4843,NA
