"DR2TFIBE.Code.or.Value","DR2TFIBE.Value.Description","DR2TFIBE.Count","DR2TFIBE.Cumulative","DR2TFIBE.Skip.to.Item"
"0 to 109.6","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
