"RFXT130.Code.or.Value","RFXT130.Value.Description","RFXT130.Count","RFXT130.Cumulative","RFXT130.Skip.to.Item"
"1132 to 1141","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
