"RHD280.Code.or.Value","RHD280.Value.Description","RHD280.Count","RHD280.Cumulative","RHD280.Skip.to.Item"
"1","Yes",565,565,""
"2","No",2053,2618,"RHQ305"
"7","Refused",0,2618,"RHQ305"
"9","Don't know",2,2620,"RHQ305"
".","Missing",998,3618,""
