"RFXC065.Code.or.Value","RFXC065.Value.Description","RFXC065.Count","RFXC065.Cumulative","RFXC065.Skip.to.Item"
"-7.553 to 5.237","Range of Values",33699,33699,NA
".","Missing",22,33721,NA
