"VTQ270A.Code.or.Value","VTQ270A.Value.Description","VTQ270A.Count","VTQ270A.Cumulative","VTQ270A.Skip.to.Item"
"1","Yes",2718,2718,""
"2","No",619,3337,"VTQ280a"
"7","Refused",0,3337,"VTQ280a"
"9","Don't know",1,3338,"VTQ280a"
".","Missing",407,3745,""
