"BPXML1.Code.or.Value","BPXML1.Value.Description","BPXML1.Count","BPXML1.Cumulative","BPXML1.Skip.to.Item"
"100 to 280","Range of Values",7859,7859,NA
"888","Could not obtain",0,7859,NA
".","Missing",2618,10477,NA
