"PFQ061G.Code.or.Value","PFQ061G.Value.Description","PFQ061G.Count","PFQ061G.Cumulative","PFQ061G.Skip.to.Item"
"1","No difficulty",2131,2131,NA
"2","Some difficulty",262,2393,NA
"3","Much difficulty",72,2465,NA
"4","Unable to do",53,2518,NA
"5","Do not do this activity",133,2651,NA
"7","Refused",0,2651,NA
"9","Don't know",0,2651,NA
".","Missing",6340,8991,NA
