"WBXP007.Code.or.Value","WBXP007.Value.Description","WBXP007.Count","WBXP007.Cumulative","WBXP007.Skip.to.Item"
"-179.782 to 142.6646","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
