"CIQD057.Code.or.Value","CIQD057.Value.Description","CIQD057.Count","CIQD057.Cumulative","CIQD057.Skip.to.Item"
"1","Month",12,12,"CIQD059"
"2","6 Months",11,23,"CIQD059"
"3","More than 6 months ago",7,30,""
"7","Refuse",0,30,""
"9","Don't know",0,30,""
".","Missing",898,928,""
