"LBXMPSI.Code.or.Value","LBXMPSI.Value.Description","LBXMPSI.Count","LBXMPSI.Cumulative","LBXMPSI.Skip.to.Item"
"5.3 to 13.5","Range of Values",8951,8951,NA
".","Missing",978,9929,NA
