"DS1ISUGR.Code.or.Value","DS1ISUGR.Value.Description","DS1ISUGR.Count","DS1ISUGR.Cumulative","DS1ISUGR.Skip.to.Item"
"0.08 to 18","Range of Values",588,588,NA
".","Missing",4782,5370,NA
