"LBXSF6SI.Code.or.Value","LBXSF6SI.Value.Description","LBXSF6SI.Count","LBXSF6SI.Cumulative","LBXSF6SI.Skip.to.Item"
"0.24 to 20.4","Range of Values",7486,7486,NA
".","Missing",1470,8956,NA
