"RDQ100.Code.or.Value","RDQ100.Value.Description","RDQ100.Count","RDQ100.Cumulative","RDQ100.Skip.to.Item"
"1","Yes",581,581,NA
"2","No",690,1271,NA
"7","Refused",0,1271,NA
"9","Don't know",11,1282,NA
".","Missing",8827,10109,NA
