"VIXKLM1.Code.or.Value","VIXKLM1.Value.Description","VIXKLM1.Count","VIXKLM1.Cumulative","VIXKLM1.Skip.to.Item"
"5.45 to 10.09","Range of Values",6346,6346,NA
"88","Could not obtain",54,6400,NA
".","Missing",358,6758,NA
