"DS1TSODI.Code.or.Value","DS1TSODI.Value.Description","DS1TSODI.Count","DS1TSODI.Cumulative","DS1TSODI.Skip.to.Item"
"0.9 to 475","Range of Values",404,404,NA
".","Missing",9140,9544,NA
