"WHQ510D.Code.or.Value","WHQ510D.Value.Description","WHQ510D.Count","WHQ510D.Cumulative","WHQ510D.Skip.to.Item"
"13","I get teased about my weight",37,37,NA
".","Missing",1390,1427,NA
