"ORXH16.Code.or.Value","ORXH16.Value.Description","ORXH16.Count","ORXH16.Cumulative","ORXH16.Skip.to.Item"
"1","Positive",47,47,NA
"2","Negative",4800,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
