"URDTCCLC.Code.or.Value","URDTCCLC.Value.Description","URDTCCLC.Count","URDTCCLC.Cumulative","URDTCCLC.Skip.to.Item"
"0","At or above the detection limit",321,321,NA
"1","Below lower detection limit",2426,2747,NA
".","Missing",84,2831,NA
