"MPD050o.Code.or.Value","MPD050o.Value.Description","MPD050o.Count","MPD050o.Cumulative","MPD050o.Skip.to.Item"
"24","Fingers/thumb - right",587,587,NA
".","Missing",4824,5411,NA
