"LBX157LA.Code.or.Value","LBX157LA.Value.Description","LBX157LA.Count","LBX157LA.Cumulative","LBX157LA.Skip.to.Item"
"0.6 to 22.7","Range of Values",2294,2294,NA
".","Missing",253,2547,NA
