"BPQ150B.Code.or.Value","BPQ150B.Value.Description","BPQ150B.Count","BPQ150B.Cumulative","BPQ150B.Skip.to.Item"
"1","Yes",4,4,NA
"2","No",7256,7260,NA
".","Missing",2022,9282,NA
