"RHD018.Code.or.Value","RHD018.Value.Description","RHD018.Count","RHD018.Cumulative","RHD018.Skip.to.Item"
"103 to 190","Range of Values",411,411,NA
"7777","Refused",0,411,NA
"9999","Don't know",36,447,NA
".","Missing",2839,3286,NA
