"LBXTST.Code.or.Value","LBXTST.Value.Description","LBXTST.Count","LBXTST.Cumulative","LBXTST.Skip.to.Item"
"0.53 to 2000","Range of Values",7207,7207,NA
".","Missing",814,8021,NA
