"DS2IVB12.Code.or.Value","DS2IVB12.Value.Description","DS2IVB12.Count","DS2IVB12.Cumulative","DS2IVB12.Skip.to.Item"
"0.2 to 10000","Range of Values",2139,2139,NA
".","Missing",3764,5903,NA
